        X             RHO          U          P            E    
   0.1052E+00   0.1000E+01   0.9172E-16   0.1000E+01   0.1500E+01
   0.1057E+00   0.1000E+01   0.9111E-16   0.1000E+01   0.1500E+01
   0.1062E+00   0.1000E+01   0.9159E-16   0.1000E+01   0.1500E+01
   0.1067E+00   0.1000E+01   0.9145E-16   0.1000E+01   0.1500E+01
   0.1072E+00   0.1000E+01   0.9176E-16   0.1000E+01   0.1500E+01
   0.1077E+00   0.1000E+01   0.9124E-16   0.1000E+01   0.1500E+01
   0.1082E+00   0.1000E+01   0.9158E-16   0.1000E+01   0.1500E+01
   0.1087E+00   0.1000E+01   0.9137E-16   0.1000E+01   0.1500E+01
   0.1092E+00   0.1000E+01   0.9179E-16   0.1000E+01   0.1500E+01
   0.1098E+00   0.1000E+01   0.9143E-16   0.1000E+01   0.1500E+01
   0.1103E+00   0.1000E+01   0.9149E-16   0.1000E+01   0.1500E+01
   0.1108E+00   0.1000E+01   0.9135E-16   0.1000E+01   0.1500E+01
   0.1113E+00   0.1000E+01   0.9183E-16   0.1000E+01   0.1500E+01
   0.1118E+00   0.1000E+01   0.9158E-16   0.1000E+01   0.1500E+01
   0.1123E+00   0.1000E+01   0.9132E-16   0.1000E+01   0.1500E+01
   0.1128E+00   0.1000E+01   0.9145E-16   0.1000E+01   0.1500E+01
   0.1133E+00   0.1000E+01   0.9176E-16   0.1000E+01   0.1500E+01
   0.1138E+00   0.1000E+01   0.9159E-16   0.1000E+01   0.1500E+01
   0.1143E+00   0.1000E+01   0.9114E-16   0.1000E+01   0.1500E+01
   0.1148E+00   0.1000E+01   0.9159E-16   0.1000E+01   0.1500E+01
   0.1153E+00   0.1000E+01   0.9160E-16   0.1000E+01   0.1500E+01
   0.1158E+00   0.1000E+01   0.9166E-16   0.1000E+01   0.1500E+01
   0.1163E+00   0.1000E+01   0.9109E-16   0.1000E+01   0.1500E+01
   0.1168E+00   0.1000E+01   0.9155E-16   0.1000E+01   0.1500E+01
   0.1173E+00   0.1000E+01   0.9523E-16   0.1000E+01   0.1500E+01
   0.1178E+00   0.1000E+01   0.1797E-15   0.1000E+01   0.1500E+01
   0.1183E+00   0.1000E+01   0.9471E-16   0.1000E+01   0.1500E+01
   0.1188E+00   0.1000E+01   0.1794E-15   0.1000E+01   0.1500E+01
   0.1193E+00   0.1000E+01   0.9519E-16   0.1000E+01   0.1500E+01
   0.1197E+00   0.1000E+01   0.1796E-15   0.1000E+01   0.1500E+01
   0.1202E+00   0.1000E+01   0.9131E-16   0.1000E+01   0.1500E+01
   0.1207E+00   0.1000E+01   0.9122E-16   0.1000E+01   0.1500E+01
   0.1212E+00   0.1000E+01   0.9167E-16   0.1000E+01   0.1500E+01
   0.1217E+00   0.1000E+01   0.9174E-16   0.1000E+01   0.1500E+01
   0.1222E+00   0.1000E+01   0.9161E-16   0.1000E+01   0.1500E+01
   0.1227E+00   0.1000E+01   0.9100E-16   0.1000E+01   0.1500E+01
   0.1232E+00   0.1000E+01   0.9165E-16   0.1000E+01   0.1500E+01
   0.1237E+00   0.1000E+01   0.9178E-16   0.1000E+01   0.1500E+01
   0.1242E+00   0.1000E+01   0.9179E-16   0.1000E+01   0.1500E+01
   0.1247E+00   0.1000E+01   0.9082E-16   0.1000E+01   0.1500E+01
   0.1253E+00   0.1000E+01   0.9176E-16   0.1000E+01   0.1500E+01
   0.1258E+00   0.1000E+01   0.9168E-16   0.1000E+01   0.1500E+01
   0.1263E+00   0.1000E+01   0.9181E-16   0.1000E+01   0.1500E+01
   0.1268E+00   0.1000E+01   0.9072E-16   0.1000E+01   0.1500E+01
   0.1273E+00   0.1000E+01   0.9179E-16   0.1000E+01   0.1500E+01
   0.1278E+00   0.1000E+01   0.9159E-16   0.1000E+01   0.1500E+01
   0.1283E+00   0.1000E+01   0.1377E-15   0.1000E+01   0.1500E+01
   0.1288E+00   0.1000E+01   0.1329E-15   0.1000E+01   0.1500E+01
   0.1293E+00   0.1000E+01   0.4939E-16   0.1000E+01   0.1500E+01
   0.1298E+00   0.1000E+01   0.4408E-16   0.1000E+01   0.1500E+01
   0.1303E+00   0.1000E+01  -0.9309E-16   0.1000E+01   0.1500E+01
   0.1308E+00   0.1000E+01   0.9101E-16   0.1000E+01   0.1500E+01
   0.1313E+00   0.1000E+01   0.9518E-16   0.1000E+01   0.1500E+01
   0.1318E+00   0.1000E+01   0.1832E-15   0.1000E+01   0.1500E+01
   0.1323E+00   0.1000E+01  -0.4758E-16   0.1000E+01   0.1500E+01
   0.1328E+00   0.1000E+01  -0.9337E-16   0.1000E+01   0.1500E+01
   0.1333E+00   0.1000E+01   0.3711E-17   0.1000E+01   0.1500E+01
   0.1338E+00   0.1000E+01   0.1368E-15   0.1000E+01   0.1500E+01
   0.1343E+00   0.1000E+01   0.1380E-15   0.1000E+01   0.1500E+01
   0.1348E+00   0.1000E+01   0.9541E-16   0.1000E+01   0.1500E+01
   0.1353E+00   0.1000E+01   0.2241E-15   0.1000E+01   0.1500E+01
   0.1358E+00   0.1000E+01   0.1342E-15   0.1000E+01   0.1500E+01
   0.1363E+00   0.1000E+01   0.3630E-17   0.1000E+01   0.1500E+01
   0.1368E+00   0.1000E+01   0.4613E-16   0.1000E+01   0.1500E+01
   0.1373E+00   0.1000E+01   0.2320E-15   0.1000E+01   0.1500E+01
   0.1378E+00   0.1000E+01   0.1376E-15   0.1000E+01   0.1500E+01
   0.1383E+00   0.1000E+01   0.2290E-15   0.1000E+01   0.1500E+01
   0.1388E+00   0.1000E+01   0.2252E-15   0.1000E+01   0.1500E+01
   0.1393E+00   0.1000E+01   0.1826E-15   0.1000E+01   0.1500E+01
   0.1398E+00   0.1000E+01   0.4551E-16   0.1000E+01   0.1500E+01
   0.1403E+00   0.1000E+01   0.1792E-15   0.1000E+01   0.1500E+01
   0.1408E+00   0.1000E+01  -0.4103E-16   0.1000E+01   0.1500E+01
   0.1413E+00   0.1000E+01  -0.1648E-17   0.1000E+01   0.1500E+01
   0.1418E+00   0.1000E+01  -0.4901E-16   0.1000E+01   0.1500E+01
   0.1423E+00   0.1000E+01  -0.1442E-15   0.1000E+01   0.1500E+01
   0.1428E+00   0.1000E+01   0.7215E-17   0.1000E+01   0.1500E+01
   0.1433E+00   0.1000E+01  -0.8846E-16   0.1000E+01   0.1500E+01
   0.1438E+00   0.1000E+01  -0.9128E-16   0.1000E+01   0.1500E+01
   0.1442E+00   0.1000E+01   0.9133E-16   0.1000E+01   0.1500E+01
   0.1447E+00   0.1000E+01  -0.4471E-16   0.1000E+01   0.1500E+01
   0.1452E+00   0.1000E+01   0.4625E-16   0.1000E+01   0.1500E+01
   0.1457E+00   0.1000E+01   0.8636E-16   0.1000E+01   0.1500E+01
   0.1462E+00   0.1000E+01   0.9156E-16   0.1000E+01   0.1500E+01
   0.1467E+00   0.1000E+01   0.9168E-16   0.1000E+01   0.1500E+01
   0.1472E+00   0.1000E+01   0.9141E-16   0.1000E+01   0.1500E+01
   0.1477E+00   0.1000E+01   0.5260E-16   0.1000E+01   0.1500E+01
   0.1482E+00   0.1000E+01   0.2275E-15   0.1000E+01   0.1500E+01
   0.1487E+00   0.1000E+01   0.1360E-15   0.1000E+01   0.1500E+01
   0.1492E+00   0.1000E+01  -0.9372E-16   0.1000E+01   0.1500E+01
   0.1497E+00   0.1000E+01  -0.2289E-17   0.1000E+01   0.1500E+01
   0.1502E+00   0.1000E+01  -0.1330E-15   0.1000E+01   0.1500E+01
   0.1507E+00   0.1000E+01  -0.4940E-16   0.1000E+01   0.1500E+01
   0.1512E+00   0.1000E+01   0.1408E-15   0.1000E+01   0.1500E+01
   0.1517E+00   0.1000E+01   0.3198E-15   0.1000E+01   0.1500E+01
   0.1522E+00   0.1000E+01   0.3528E-16   0.1000E+01   0.1500E+01
   0.1527E+00   0.1000E+01  -0.1747E-15   0.1000E+01   0.1500E+01
   0.1532E+00   0.1000E+01  -0.7728E-17   0.1000E+01   0.1500E+01
   0.1537E+00   0.1000E+01   0.9756E-16   0.1000E+01   0.1500E+01
   0.1542E+00   0.1000E+01   0.8554E-18   0.1000E+01   0.1500E+01
   0.1547E+00   0.1000E+01  -0.3531E-18   0.1000E+01   0.1500E+01
   0.1552E+00   0.1000E+01  -0.4563E-16   0.1000E+01   0.1500E+01
   0.1557E+00   0.1000E+01   0.4580E-16   0.1000E+01   0.1500E+01
   0.1562E+00   0.1000E+01   0.9149E-16   0.1000E+01   0.1500E+01
   0.1568E+00   0.1000E+01  -0.5991E-18   0.1000E+01   0.1500E+01
   0.1573E+00   0.1000E+01   0.1411E-15   0.1000E+01   0.1500E+01
   0.1578E+00   0.1000E+01   0.2344E-15   0.1000E+01   0.1500E+01
   0.1583E+00   0.1000E+01   0.1351E-15   0.1000E+01   0.1500E+01
   0.1588E+00   0.1000E+01   0.1788E-15   0.1000E+01   0.1500E+01
   0.1593E+00   0.1000E+01   0.2714E-15   0.1000E+01   0.1500E+01
   0.1598E+00   0.1000E+01   0.1900E-15   0.1000E+01   0.1500E+01
   0.1603E+00   0.1000E+01   0.2719E-15   0.1000E+01   0.1500E+01
   0.1608E+00   0.1000E+01   0.3227E-15   0.1000E+01   0.1500E+01
   0.1613E+00   0.1000E+01   0.2325E-15   0.1000E+01   0.1500E+01
   0.1618E+00   0.1000E+01   0.3625E-15   0.1000E+01   0.1500E+01
   0.1623E+00   0.1000E+01   0.2794E-15   0.1000E+01   0.1500E+01
