        X             RHO          U          P            E    
   0.1618E+00   0.1000E+01   0.8590E-16   0.1000E+01   0.2500E+01
   0.1623E+00   0.1000E+01   0.1421E-15   0.1000E+01   0.2500E+01
   0.1628E+00   0.1000E+01   0.2285E-15   0.1000E+01   0.2500E+01
   0.1633E+00   0.1000E+01   0.3015E-15   0.1000E+01   0.2500E+01
   0.1638E+00   0.1000E+01   0.3228E-15   0.1000E+01   0.2500E+01
   0.1643E+00   0.1000E+01   0.7184E-16   0.1000E+01   0.2500E+01
   0.1648E+00   0.1000E+01  -0.2301E-16   0.1000E+01   0.2500E+01
   0.1653E+00   0.1000E+01  -0.4667E-16   0.1000E+01   0.2500E+01
   0.1658E+00   0.1000E+01  -0.7494E-16   0.1000E+01   0.2500E+01
   0.1663E+00   0.1000E+01   0.2885E-15   0.1000E+01   0.2500E+01
   0.1668E+00   0.1000E+01   0.2908E-15   0.1000E+01   0.2500E+01
   0.1673E+00   0.1000E+01  -0.7506E-16   0.1000E+01   0.2500E+01
   0.1678E+00   0.1000E+01  -0.1667E-15   0.1000E+01   0.2500E+01
   0.1683E+00   0.1000E+01  -0.1916E-15   0.1000E+01   0.2500E+01
   0.1688E+00   0.1000E+01   0.1668E-15   0.1000E+01   0.2500E+01
   0.1693E+00   0.1000E+01   0.3372E-15   0.1000E+01   0.2500E+01
